"path","html_file","html_bytes","text_chars","status","h1_count","has_title","has_description","has_canonical","canonical","has_noindex","contains_company","contains_phone","contains_address","has_json_ld","issues"
"/","index.html","39608","3489","PASS","1","true","true","true","https://huixiangqimao.cn/","false","true","true","true","true",""
"/about/","about/index.html","27300","2672","PASS","1","true","true","true","https://huixiangqimao.cn/about/","false","true","true","true","true",""
"/trucks/","trucks/index.html","70349","7414","PASS","1","true","true","true","https://huixiangqimao.cn/trucks/","false","true","true","true","true",""
"/services/","services/index.html","31875","2753","PASS","1","true","true","true","https://huixiangqimao.cn/services/","false","true","true","true","true",""
"/huzhou-truck-sales/","huzhou-truck-sales/index.html","26648","2600","PASS","1","true","true","true","https://huixiangqimao.cn/huzhou-truck-sales/","false","true","true","true","true",""
"/dongfeng-duolika/","dongfeng-duolika/index.html","24256","2140","PASS","1","true","true","true","https://huixiangqimao.cn/dongfeng-duolika/","false","true","true","true","true",""
"/guides/","guides/index.html","27907","2499","PASS","1","true","true","true","https://huixiangqimao.cn/guides/","false","true","true","true","true",""
"/faq/","faq/index.html","23828","2011","PASS","1","true","true","true","https://huixiangqimao.cn/faq/","false","true","true","true","true",""
"/news/","news/index.html","31277","2447","PASS","1","true","true","true","https://huixiangqimao.cn/news/","false","true","true","true","true",""
"/contact/","contact/index.html","22743","1929","PASS","1","true","true","true","https://huixiangqimao.cn/contact/","false","true","true","true","true",""
"/guides/huzhou-dongfeng-truck-selection/","guides/huzhou-dongfeng-truck-selection/index.html","22681","1906","PASS","1","true","true","true","https://huixiangqimao.cn/guides/huzhou-dongfeng-truck-selection/","false","true","true","true","true",""
"/guides/huzhou-duolika-price-explained/","guides/huzhou-duolika-price-explained/index.html","22622","1871","PASS","1","true","true","true","https://huixiangqimao.cn/guides/huzhou-duolika-price-explained/","false","true","true","true","true",""
"/guides/huzhou-4m2-truck-use-cases/","guides/huzhou-4m2-truck-use-cases/index.html","22164","1793","PASS","1","true","true","true","https://huixiangqimao.cn/guides/huzhou-4m2-truck-use-cases/","false","true","true","true","true",""
"/guides/truck-price-cost-checklist/","guides/truck-price-cost-checklist/index.html","22069","1744","PASS","1","true","true","true","https://huixiangqimao.cn/guides/truck-price-cost-checklist/","false","true","true","true","true",""
"/guides/changxing-truck-registration-questions/","guides/changxing-truck-registration-questions/index.html","22207","1750","PASS","1","true","true","true","https://huixiangqimao.cn/guides/changxing-truck-registration-questions/","false","true","true","true","true",""
"/guides/huzhou-truck-after-sales-questions/","guides/huzhou-truck-after-sales-questions/index.html","22030","1740","PASS","1","true","true","true","https://huixiangqimao.cn/guides/huzhou-truck-after-sales-questions/","false","true","true","true","true",""
"/news/official-website-launch-announcement/","news/official-website-launch-announcement/index.html","27703","2159","PASS","1","true","true","true","https://huixiangqimao.cn/news/official-website-launch-announcement/","false","true","true","true","true",""
"/news/huzhou-truck-after-sales-service/","news/huzhou-truck-after-sales-service/index.html","37345","4849","PASS","1","true","true","true","https://huixiangqimao.cn/news/huzhou-truck-after-sales-service/","false","true","true","true","true",""
"/news/huzhou-truck-registration-inspection-guide/","news/huzhou-truck-registration-inspection-guide/index.html","36925","4605","PASS","1","true","true","true","https://huixiangqimao.cn/news/huzhou-truck-registration-inspection-guide/","false","true","true","true","true",""
